Full Library Name,Library Name,Branch Name,Full Address,Address,City,County,State,Zip Code,Type of Library,Mailing Address,Mailing City,Mailing County,Mailing State,Mailing Zip Code,Phone Number,FAX Number,Email Address,Website,Library System Membership,Director's First Name,Director's Last Name,Director's Phone Number,Director's Email,New Georeferenced Column,2010 House Districts,2010 Senate Districts,Counties
George Fox University - Portland Center Library,George Fox University,Portland Center Library,12753 SW 68th Avenue Portland OR 97223-8355,12753 SW 68th Avenue,Portland,,OR,97223-8355,Academic,,,,,,503-554- 6130,503-554-6134,,http://library.georgefox.edu/,,,,,,POINT (-122.746863 45.428239),35,18,724
Cannon Beach Library,Cannon Beach Library,,131 N. Hemlock Cannon Beach OR 97110,131 N. Hemlock,Cannon Beach,Clatsop,OR,97110,Volunteer,PO Box 486 Cannon Beach OR 97110,Cannon Beach,Clatsop,OR,97110,(503) 436-1391,,info@cannonbeachlibrary.org,http://www.cannonbeachlibrary.org,,Buddie,"Anderson, Manager",503-436-1391,,POINT (-123.96087900000002 45.897083),32,16,2318
Jackson County Library Services - Medford Branch Library,Jackson County Library Services,Medford Branch Library,205 S Central Ave Medford OR 97501,205 S Central Ave,Medford,Jackson,OR,97501,Public,OR,,,OR,,(541) 774-8689,(541) 774-6748,info@jcls.org,http://www.jcls.org,NONE,Terra,McLeod,541-774-6554,tmcleod@jcls.org,POINT (-122.870293 42.324522),6,3,2367
Linn County Law Library,Linn County Law Library,,304 Broadalbin St SW Albany OR 97321,304 Broadalbin St SW,Albany,Linn,OR,97321,Special,304 Broadalbin St SW Albany OR 97321,Albany,Linn,OR,97321,(541) 924 - 6902,,aboedigheimer@co.linn.or.us,http://www.co.linn.or.us/Law%20Library/default.htm,,Amber,Boedigheimer,(541) 924 - 6902,aboedigheimer@co.linn.or.us,POINT (-123.10712700000002 44.635804),15,8,2407
Westfir City Library,Westfir City Library,,47441 Westoak Rd Westfir OR 97942,47441 Westoak Rd,Westfir,Lane,OR,97942,Volunteer,PO Box 296 Westfir OR 97942,Westfir,Lane,OR,97942,(541) 782-3733,,westfircity@questoffice.net,,,Dennis,Kromwall,,,POINT (-122.490922 43.757992),7,4,2371
Multnomah County Library - Sellwood-Moreland Library,Multnomah County Library,Sellwood-Moreland Library,7860 SE 13th Ave Portland OR 97202,7860 SE 13th Ave,Portland,Multnomah County,OR,97202,Public,,,,,,(502) 988-5123,,,https://multcolib.org/,NONE,Jenna,Scott,(503)988-5123,jennas@multcolib.org,POINT (-122.65299300000001 45.467789),41,21,2410
Willamette University - J. W. Long Law Library,Willamette University,J. W. Long Law Library,245 Winter St SE Salem OR 97301-3916,245 Winter St SE,Salem,Marion,OR,97301-3916,Academic,245 Winter St SE Salem  97301-3916,Salem,,,97301-3916,503-370-6386,503-375-5426,,http://www.willamette.edu/wucl/longlib/index.html,,Ann,Kitchel,503-375-5345,akitchel@willamette.edu,POINT (-123.03381799999998 44.935336),21,11,2409
Aloha Community Library,Aloha Community Library,,"17455 SW Farmington Rd, Suite 26A Aloha OR 97078","17455 SW Farmington Rd, Suite 26A",Aloha,Washington,OR,97078,Public,P.O. Box 6561 Aloha OR 97007,Aloha,Washington,OR,97007,503-259-0185,,info@alohalibrary.org,http://alohalibrary.org,WCCLS,Terri,Palmer,,volunteer@alohalibrary.org,POINT (-122.85861500000001 45.479285),28,14,724
St. Helens Public Library,St. Helens Public Library,,"375 S 18th St, Ste A St. Helens OR 97051","375 S 18th St, Ste A",St. Helens,Columbia,OR,97051,Public,"375 S 18th St, Ste A St. Helens OR 97051",St. Helens,Columbia,OR,97051,(503) 397-4544,(503) 366-3020,shpl@ci.st-helens.or.us,http://www.ci.st-helens.or.us/library,NONE,Margaret,Jeffries,(503) 397-4544 ext 601,margaretj@ci.st-helens.or.us,POINT (-122.81403899999998 45.854941),31,16,2319
Linfield College - Nicholson Library,Linfield College,Nicholson Library,900 S Baker St McMinnville OR 97128-6894,900 S Baker St,McMinnville,,OR,97128-6894,Academic,,,,,,503-883-2261,503-883-2566,,http://www.linfield.edu/library/,,Ginny,Blackson,503-883-2517,gblackson@linfield.edu,POINT (-123.200574 45.203272),24,12,2453
Deschutes Public Library System - La Pine Library,Deschutes Public Library System,La Pine Library,16425 1st St La Pine OR 97739,16425 1st St,La Pine,Deschutes,OR,97739,Public,16425 1st St La Pine  97739,La Pine,,,97739,541-312-1090,541-536-0752,,http://www.deschuteslibrary.org/lapine/,NONE,Todd,Dunkelberg,,toddd@deschuteslibrary.org,POINT (-121.505098 43.674573),55,28,2362
Sherwood Public Library,Sherwood Public Library,,22560 SW Pine St Sherwood   OR 97140,22560 SW Pine St,Sherwood,Washington,OR,97140,Public,22560 SW Pine St Sherwood OR 97140,Sherwood,Washington,OR,97140,(503) 625-6688,(503) 625-4254,askusSPL@wccls.org,http://www.sherwoodoregon.gov/library,WCCLS,Adrienne,Doman Calkins,(503) 625-4272,calkinsa@sherwoodoregon.gov,POINT (-122.84044800000001 45.356468),26,13,724
Eugene Public Library - Sheldon,Eugene Public Library,Sheldon,1566 Coburg Rd Eugene OR 97401,1566 Coburg Rd,Eugene,Lane County,OR,97401,Public,,,,,,541-682-5450,541-682-5781,LibraryAskUs@ci.eugene.or.us,http://www.eugene-or.gov/library,NONE,Will,O'Hearn,541-682-5363,wohearn@eugene-or.gov,POINT (-123.068119 44.079763),13,7,2371
Multnomah County Library - Gresham Library,Multnomah County Library,Gresham Library,385 NW Miller Ave Gresham OR 97030,385 NW Miller Ave,Gresham,Multnomah County,OR,97030,Public,,,,,,503.988.5123,,,,NONE,Bryan,Fearn,(503)988-5164,bryanf@multcolib.org,POINT (-122.43256700000002 45.500719),50,25,2410
Scio Public Library,Scio Public Library,,38957 NW 1st Scio OR 97374,38957 NW 1st,Scio,Linn,OR,97374,Public,PO Box 37 Scio OR 97374,Scio,,OR,97374,(503) 394-3342,(503) 394-2340,slibrary@smt-net.com,http://ci.scio.or.us/library.htm,NONE,LaVonne,Murray,(503) 394-3342,ci.scio.l.murray@smt-net.com,POINT (-122.84980600000002 44.704709),17,9,2407
