District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,Teacher Experience,Same Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average,College Going,College Going Change from Last Year,College Going Change Value,Oregon College Going Average
2063,Adel SD 21,498,Adel Elementary School,Jack Thompson,Grade(s) 4-8,E,Lake,11,*,1,*,*,*,1,1,0,10%,-1,No,11,Increase,7,25,*,Unavailable,,80%,*,,Unavailable,,53%,,Unavailable,,40%,,,,,,,,,,,,,,,,
2113,Adrian SD 61,707,Adrian Elementary School,William Ellsworth,Grade(s) K-8,E,Malheur,201,13%,2,13%,63%,99%,9,8,0,8%,85%,Yes,22,No Change,,25,89%,Increase,1%,80%,Average,65%,Decrease,8%,52%,46%,Decrease,10%,41%,,,,,,,,,,,,,,,,
2113,Adrian SD 61,708,Adrian High School,Kevin Purnell,Grade(s) 9-12,H,Malheur,89,22%,5,16%,49%,97%,7,1,0,14%,80%,Yes,12,Decrease,2,25,82%,Increase,4%,80%,,,,,,,,,,96%,No Change,,85%,89%,Decrease,11%,79%,100%,Increase,6%,85%,44%,Decrease,25%,62%
1899,Alsea SD 7J,17,Alsea Charter School,Marc Thielman,Grade(s) K-12,H,Benton,355,<5%,3,15%,63%,87%,14,10,0,35%,100%,No,9,Decrease,16,25,67%,Increase,11%,80%,,,,,,,,,,33%,Decrease,57%,85%,50%,Decrease,42%,79%,87%,Increase,18%,85%,50%,Unavailable,,62%
2252,Amity SD 4J,1208,Amity Elementary School,Danielle Ludwick,Grade(s) K-5,E,Yamhill,323,9%,2,18%,44%,97%,19,6,0,12%,76%,Yes,19,Decrease,5,25,87%,Increase,2%,80%,Average,47%,Decrease,3%,51%,46%,Increase,3%,43%,,,,,,,,,,,,,,,,
2252,Amity SD 4J,1210,Amity High School,Chris Daniels,Grade(s) 9-12,H,Yamhill,241,10%,7,16%,37%,94%,16,3,1,11%,84%,Yes,16,Decrease,3,25,73%,No Change,,80%,,,,,,,,,,84%,Decrease,5%,85%,91%,Increase,10%,79%,91%,Decrease,2%,85%,56%,Decrease,10%,62%
2252,Amity SD 4J,1209,Amity Middle School,David Lund,Grade(s) 6-8,M,Yamhill,204,7%,3,13%,44%,95%,11,2,1,12%,79%,Yes,23,Increase,2,25,78%,Increase,1%,80%,Low,49%,Increase,14%,54%,27%,Increase,3%,39%,,,,,,,,,,,,,,,,
2252,Amity SD 4J,4505,Eola Hills Charter School,Chase Emerson,Grade(s) 1-12,H,Yamhill,40,*,1,28%,*,100%,4,1,0,35%,75%,No,12,Increase,2,25,33%,Decrease,10%,80%,,,,,,,,,,,Unavailable,,85%,38%,Increase,5%,79%,60%,Decrease,3%,85%,,Unavailable,,62%
2111,Annex SD 29,705,Annex Charter School,Steve Bishop,Grade(s) K-8,E,Malheur,89,18%,2,*,>95%,91%,8,6,0,36%,100%,Yes,20,Increase,3,25,81%,Increase,3%,80%,High,39%,Increase,9%,52%,41%,Increase,16%,41%,,,,,,,,,,,,,,,,
2005,Arlington SD 3,323,Arlington Community Charter School,Kevin Hunking,Grade(s) K-12,H,Gilliam,167,*,2,15%,>95%,98%,13,0,0,12%,83%,Yes,13,Increase,3,25,76%,No Change,,80%,,,,,,,,,,90%,Decrease,>5%,85%,67%,Decrease,22%,79%,100%,Increase,50%,85%,63%,Unavailable,,62%
2115,Arock SD 81,711,W W Jones Elementary School,Vicki McConnell,Grade(s) K-8,E,Malheur,17,*,2,*,*,100%,1,0,0,0%,100%,Yes,10,Increase,1,25,88%,Increase,1%,80%,*,55%,Unavailable,,52%,36%,Unavailable,,41%,,,,,,,,,,,,,,,,
2041,Ashland SD 5,381,Ashland High School,Samuel Bogdanove,Grade(s) 9-12,H,Jackson,945,<5%,15,9%,29%,73%,53,13,3,16%,79%,Yes,22,Increase,1,25,81%,Increase,6%,80%,,,,,,,,,,91%,Decrease,>4%,85%,86%,Decrease,2%,79%,95%,No Change,,85%,61%,Decrease,7%,62%
2041,Ashland SD 5,380,Ashland Middle School,Steve Retzlaff,Grade(s) 6-8,M,Jackson,570,<5%,7,14%,34%,74%,31,12,1,12%,82%,Yes,25,Increase,1,25,80%,Increase,2%,80%,Average,70%,Decrease,1%,54%,57%,Decrease,5%,39%,,,,,,,,,,,,,,,,
2041,Ashland SD 5,375,Bellview Elementary School,Christine McCollom,Grade(s) K-5,E,Jackson,317,*,3,24%,34%,84%,17,13,<1,9%,83%,Yes,23.5,Decrease,1,25,86%,Decrease,2%,80%,Average,67%,No Change,,51%,60%,Decrease,1%,43%,,,,,,,,,,,,,,,,
2041,Ashland SD 5,377,Helman Elementary School,Michelle Cuddeback,Grade(s) K-5,E,Jackson,342,*,4,14%,28%,74%,17,6,<1,9%,94%,Yes,24,Decrease,2,25,85%,No Change,,80%,High,73%,No Change,,51%,66%,No Change,,43%,,,,,,,,,,,,,,,,
2041,Ashland SD 5,4476,John Muir Elementary School,Rebecca Gyarmathy,Grade(s) K-8,E,Jackson,123,*,3,12%,34%,47%,6,3,<1,22%,71%,Yes,25,Increase,1,25,85%,Increase,6%,80%,High,80%,Decrease,4%,52%,59%,Decrease,15%,41%,,,,,,,,,,,,,,,,
2041,Ashland SD 5,379,Walker Elementary School,Tiffany Burns,Grade(s) K-5,E,Jackson,342,5%,8,19%,37%,74%,18,8,<1,15%,85%,Yes,23.5,Decrease,2,25,92%,Increase,8%,80%,High,60%,Increase,12%,51%,52%,Increase,8%,43%,,,,,,,,,,,,,,,,
