,Atr1,Atr2,Atr3,Atr4,Atr5,Atr6,Atr7,Atr8,Atr9,Atr10,Atr11,Atr12,Atr13,Atr14,Atr15,Atr16,Atr17,Atr18,Atr19,Atr20,Atr21,Atr22,Atr23,Atr24,Atr25,Atr26,Atr27,Atr28,Atr29,Atr30,Atr31,Atr32,Atr33,Atr34,Atr35,Atr36,Atr37,Atr38,Atr39,Atr40,Atr41,Atr42,Atr43,Atr44,Atr45,Atr46,Atr47,Atr48,Atr49,Atr50,Atr51,Atr52,Atr53,Atr54,Class
0,Averagely,Averagely,Always,Seldom,Never,Never,Never,Never,Never,Never,Seldom,Never,Seldom,Seldom,Never,Seldom,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Averagely,Seldom,Averagely,Never,Seldom,Averagely,Seldom,Frequently,Frequently,Averagely,Seldom,Seldom,Averagely,Frequently,Averagely,Seldom,Frequently,Frequently,Frequently,Averagely,Frequently,Averagely,Seldom,Divorced
1,Always,Always,Always,Always,Always,Never,Never,Always,Always,Always,Always,Frequently,Always,Never,Always,Always,Always,Always,Frequently,Averagely,Seldom,Seldom,Never,Averagely,Averagely,Seldom,Averagely,Never,Seldom,Seldom,Never,Always,Averagely,Frequently,Never,Averagely,Frequently,Always,Averagely,Always,Averagely,Averagely,Frequently,Always,Averagely,Averagely,Averagely,Frequently,Always,Always,Always,Always,Averagely,Averagely,Divorced
2,Averagely,Averagely,Averagely,Averagely,Seldom,Frequently,Averagely,Seldom,Seldom,Averagely,Frequently,Always,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Seldom,Never,Seldom,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Averagely,Frequently,Frequently,Seldom,Seldom,Seldom,Seldom,Averagely,Seldom,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Seldom,Seldom,Seldom,Averagely,Averagely,Averagely,Divorced
3,Frequently,Averagely,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Seldom,Seldom,Seldom,Seldom,Averagely,Seldom,Seldom,Seldom,Seldom,Frequently,Averagely,Frequently,Averagely,Averagely,Seldom,Seldom,Frequently,Frequently,Always,Always,Averagely,Averagely,Frequently,Averagely,Frequently,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Averagely,Averagely,Averagely,Divorced
4,Averagely,Averagely,Seldom,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Seldom,Never,Seldom,Seldom,Seldom,Seldom,Seldom,Averagely,Seldom,Seldom,Never,Never,Never,Never,Averagely,Seldom,Averagely,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Never,Never,Never,Never,Averagely,Seldom,Never,Averagely,Frequently,Never,Averagely,Averagely,Seldom,Averagely,Frequently,Averagely,Averagely,Averagely,Seldom,Never,Divorced
5,Never,Never,Seldom,Never,Never,Averagely,Never,Never,Never,Seldom,Never,Averagely,Seldom,Never,Averagely,Never,Averagely,Seldom,Never,Seldom,Never,Never,Never,Never,Averagely,Averagely,Never,Never,Never,Never,Always,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Averagely,Never,Averagely,Averagely,Seldom,Averagely,Frequently,Never,Averagely,Averagely,Seldom,Averagely,Seldom,Seldom,Seldom,Averagely,Never,Divorced
6,Frequently,Frequently,Frequently,Averagely,Seldom,Frequently,Always,Frequently,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Averagely,Averagely,Averagely,Seldom,Averagely,Averagely,Seldom,Seldom,Averagely,Frequently,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Averagely,Frequently,Averagely,Frequently,Frequently,Averagely,Averagely,Averagely,Divorced
7,Averagely,Seldom,Averagely,Averagely,Averagely,Seldom,Never,Frequently,Frequently,Averagely,Always,Frequently,Averagely,Frequently,Always,Frequently,Averagely,Frequently,Averagely,Seldom,Averagely,Seldom,Seldom,Averagely,Frequently,Frequently,Averagely,Averagely,Averagely,Frequently,Seldom,Seldom,Never,Averagely,Averagely,Seldom,Always,Always,Always,Always,Always,Always,Frequently,Averagely,Never,Never,Seldom,Averagely,Averagely,Averagely,Seldom,Seldom,Seldom,Never,Divorced
8,Averagely,Averagely,Seldom,Never,Never,Always,Seldom,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Averagely,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Divorced
9,Seldom,Seldom,Seldom,Seldom,Seldom,Averagely,Never,Averagely,Averagely,Averagely,Frequently,Never,Never,Averagely,Seldom,Never,Seldom,Averagely,Seldom,Never,Never,Never,Never,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Never,Seldom,Never,Never,Seldom,Seldom,Averagely,Averagely,Seldom,Averagely,Frequently,Averagely,Averagely,Averagely,Never,Averagely,Averagely,Averagely,Averagely,Always,Frequently,Frequently,Divorced
